scientists	writers	politicians	military.leaders	artists	philosophers	social.reformers	historians	business.leaders	lifetime	occupation	
*	*	*	*	*	*	*	*	*	40	politicians	
*	*	*	*	*	*	*	*	*	83	politicians	
*	*	*	*	*	*	*	*	*	50	politicians	
*	*	*	*	*	*	*	*	*	42	politicians	
*	*	*	*	*	*	*	*	*	64	politicians	
*	*	*	*	*	*	*	*	*	87	politicians	
*	*	*	*	*	*	*	*	*	59	politicians	
*	*	*	*	*	*	*	*	*	67	politicians	
*	*	*	*	*	*	*	*	*	39	politicians	
*	*	*	*	*	*	*	*	*	55	politicians	
*	*	*	*	*	*	*	*	*	43	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	81	politicians	
*	*	*	*	*	*	*	*	*	86	politicians	
*	*	*	*	*	*	*	*	*	83	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	76	politicians	
*	*	*	*	*	*	*	*	*	64	politicians	
*	*	*	*	*	*	*	*	*	74	politicians	
*	*	*	*	*	*	*	*	*	62	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	52	politicians	
*	*	*	*	*	*	*	*	*	75	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	60	politicians	
*	*	*	*	*	*	*	*	*	72	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	81	politicians	
*	*	*	*	*	*	*	*	*	79	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	90	politicians	
*	*	*	*	*	*	*	*	*	45	politicians	
*	*	*	*	*	*	*	*	*	75	politicians	
*	*	*	*	*	*	*	*	*	62	politicians	
*	*	*	*	*	*	*	*	*	79	politicians	
*	*	*	*	*	*	*	*	*	68	politicians	
*	*	*	*	*	*	*	*	*	67	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	47	politicians	
*	*	*	*	*	*	*	*	*	61	politicians	
*	*	*	*	*	*	*	*	*	74	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	52	politicians	
*	*	*	*	*	*	*	*	*	60	politicians	
*	*	*	*	*	*	*	*	*	60	politicians	
*	*	*	*	*	*	*	*	*	93	politicians	
*	*	*	*	*	*	*	*	*	55	politicians	
*	*	*	*	*	*	*	*	*	79	politicians	
*	*	*	*	*	*	*	*	*	88	politicians	
*	*	*	*	*	*	*	*	*	90	politicians	
*	*	*	*	*	*	*	*	*	49	politicians	
*	*	*	*	*	*	*	*	*	57	politicians	
*	*	*	*	*	*	*	*	*	36	politicians	
*	*	*	*	*	*	*	*	*	71	politicians	
*	*	*	*	*	*	*	*	*	78	politicians	
*	*	*	*	*	*	*	*	*	92	politicians	
*	*	*	*	*	*	*	*	*	86	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	71	politicians	
*	*	*	*	*	*	*	*	*	72	politicians	
*	*	*	*	*	*	*	*	*	74	politicians	
*	*	*	*	*	*	*	*	*	74	politicians	
*	*	*	*	*	*	*	*	*	77	politicians	
*	*	*	*	*	*	*	*	*	77	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	71	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	71	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	73	politicians	
*	*	*	*	*	*	*	*	*	74	politicians	
*	*	*	*	*	*	*	*	*	55	politicians	
*	*	*	*	*	*	*	*	*	49	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	83	politicians	
*	*	*	*	*	*	*	*	*	51	politicians	
*	*	*	*	*	*	*	*	*	69	politicians	
*	*	*	*	*	*	*	*	*	59	politicians	
*	*	*	*	*	*	*	*	*	64	politicians	
*	*	*	*	*	*	*	*	*	84	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	84	politicians	
*	*	*	*	*	*	*	*	*	88	politicians	
*	*	*	*	*	*	*	*	*	71	politicians	
*	*	*	*	*	*	*	*	*	63	politicians	
*	*	*	*	*	*	*	*	*	59	politicians	
*	*	*	*	*	*	*	*	*	61	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	50	politicians	
*	*	*	*	*	*	*	*	*	55	politicians	
*	*	*	*	*	*	*	*	*	80	politicians	
*	*	*	*	*	*	*	*	*	67	politicians	
*	*	*	*	*	*	*	*	*	72	politicians	
*	*	*	*	*	*	*	*	*	65	politicians	
*	*	*	*	*	*	*	*	*	69	politicians	
*	*	*	*	*	*	*	*	*	70	politicians	
*	*	*	*	*	*	*	*	*	78	politicians	
*	*	*	*	*	*	*	*	*	52	politicians	
*	*	*	*	*	*	*	*	*	40	politicians	
*	*	*	*	*	*	*	*	*	60	military	leaders
*	*	*	*	*	*	*	*	*	78	military	leaders
*	*	*	*	*	*	*	*	*	51	military	leaders
*	*	*	*	*	*	*	*	*	75	military	leaders
*	*	*	*	*	*	*	*	*	60	military	leaders
*	*	*	*	*	*	*	*	*	64	military	leaders
*	*	*	*	*	*	*	*	*	47	military	leaders
*	*	*	*	*	*	*	*	*	58	military	leaders
*	*	*	*	*	*	*	*	*	75	military	leaders
*	*	*	*	*	*	*	*	*	77	military	leaders
*	*	*	*	*	*	*	*	*	52	military	leaders
*	*	*	*	*	*	*	*	*	60	military	leaders
*	*	*	*	*	*	*	*	*	88	military	leaders
*	*	*	*	*	*	*	*	*	70	military	leaders
*	*	*	*	*	*	*	*	*	68	military	leaders
*	*	*	*	*	*	*	*	*	84	military	leaders
*	*	*	*	*	*	*	*	*	51	military	leaders
*	*	*	*	*	*	*	*	*	57	military	leaders
*	*	*	*	*	*	*	*	*	81	military	leaders
*	*	*	*	*	*	*	*	*	67	military	leaders
*	*	*	*	*	*	*	*	*	28	military	leaders
*	*	*	*	*	*	*	*	*	37	military	leaders
*	*	*	*	*	*	*	*	*	66	military	leaders
*	*	*	*	*	*	*	*	*	41	military	leaders
*	*	*	*	*	*	*	*	*	75	military	leaders
*	*	*	*	*	*	*	*	*	80	military	leaders
*	*	*	*	*	*	*	*	*	87	military	leaders
*	*	*	*	*	*	*	*	*	78	military	leaders
*	*	*	*	*	*	*	*	*	79	military	leaders
*	*	*	*	*	*	*	*	*	69	military	leaders
*	*	*	*	*	*	*	*	*	78	military	leaders
*	*	*	*	*	*	*	*	*	56	military	leaders
*	*	*	*	*	*	*	*	*	74	military	leaders
*	*	*	*	*	*	*	*	*	44	military	leaders
*	*	*	*	*	*	*	*	*	52	military	leaders
*	*	*	*	*	*	*	*	*	78	military	leaders
*	*	*	*	*	*	*	*	*	63	military	leaders
*	*	*	*	*	*	*	*	*	65	military	leaders
*	*	*	*	*	*	*	*	*	67	military	leaders
*	*	*	*	*	*	*	*	*	77	military	leaders
*	*	*	*	*	*	*	*	*	89	military	leaders
*	*	*	*	*	*	*	*	*	73	military	leaders
*	*	*	*	*	*	*	*	*	85	military	leaders
*	*	*	*	*	*	*	*	*	70	military	leaders
*	*	*	*	*	*	*	*	*	39	military	leaders
*	*	*	*	*	*	*	*	*	79	military	leaders
*	*	*	*	*	*	*	*	*	45	military	leaders
*	*	*	*	*	*	*	*	*	54	military	leaders
*	*	*	*	*	*	*	*	*	78	military	leaders
*	*	*	*	*	*	*	*	*	66	military	leaders
*	*	*	*	*	*	*	*	*	48	military	leaders
*	*	*	*	*	*	*	*	*	71	military	leaders
*	*	*	*	*	*	*	*	*	68	military	leaders
*	*	*	*	*	*	*	*	*	77	military	leaders
*	*	*	*	*	*	*	*	*	47	military	leaders
*	*	*	*	*	*	*	*	*	62	military	leaders
*	*	*	*	*	*	*	*	*	63	military	leaders
*	*	*	*	*	*	*	*	*	89	military	leaders
*	*	*	*	*	*	*	*	*	83	military	leaders
*	*	*	*	*	*	*	*	*	84	military	leaders
*	*	*	*	*	*	*	*	*	62	military	leaders
*	*	*	*	*	*	*	*	*	72	military	leaders
*	*	*	*	*	*	*	*	*	79	military	leaders
*	*	*	*	*	*	*	*	*	59	military	leaders
*	*	*	*	*	*	*	*	*	57	military	leaders
*	*	*	*	*	*	*	*	*	57	military	leaders
*	*	*	*	*	*	*	*	*	91	military	leaders
*	*	*	*	*	*	*	*	*	47	military	leaders
*	*	*	*	*	*	*	*	*	89	military	leaders
*	*	*	*	*	*	*	*	*	66	military	leaders
*	*	*	*	*	*	*	*	*	79	military	leaders
*	*	*	*	*	*	*	*	*	48	military	leaders
*	*	*	*	*	*	*	*	*	47	military	leaders
*	*	*	*	*	*	*	*	*	46	military	leaders
*	*	*	*	*	*	*	*	*	81	military	leaders
*	*	*	*	*	*	*	*	*	60	military	leaders
*	*	*	*	*	*	*	*	*	34	military	leaders
*	*	*	*	*	*	*	*	*	88	military	leaders
*	*	*	*	*	*	*	*	*	95	military	leaders
*	*	*	*	*	*	*	*	*	50	military	leaders
*	*	*	*	*	*	*	*	*	86	military	leaders
*	*	*	*	*	*	*	*	*	53	military	leaders
*	*	*	*	*	*	*	*	*	78	military	leaders
*	*	*	*	*	*	*	*	*	55	military	leaders
*	*	*	*	*	*	*	*	*	80	military	leaders
*	*	*	*	*	*	*	*	*	57	military	leaders
*	*	*	*	*	*	*	*	*	71	military	leaders
*	*	*	*	*	*	*	*	*	83	military	leaders
*	*	*	*	*	*	*	*	*	83	military	leaders
*	*	*	*	*	*	*	*	*	63	military	leaders
*	*	*	*	*	*	*	*	*	31	military	leaders
*	*	*	*	*	*	*	*	*	54	military	leaders
*	*	*	*	*	*	*	*	*	75	military	leaders
*	*	*	*	*	*	*	*	*	81	military	leaders
*	*	*	*	*	*	*	*	*	70	military	leaders
*	*	*	*	*	*	*	*	*	67	military	leaders
*	*	*	*	*	*	*	*	*	67	military	leaders
*	*	*	*	*	*	*	*	*	51	military	leaders
*	*	*	*	*	*	*	*	*	83	military	leaders
*	*	*	*	*	*	*	*	*	32	military	leaders
*	*	*	*	*	*	*	*	*	79	military	leaders
*	*	*	*	*	*	*	*	*	64	artists	
*	*	*	*	*	*	*	*	*	58	artists	
*	*	*	*	*	*	*	*	*	44	artists	
*	*	*	*	*	*	*	*	*	55	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	66	artists	
*	*	*	*	*	*	*	*	*	61	artists	
*	*	*	*	*	*	*	*	*	68	artists	
*	*	*	*	*	*	*	*	*	70	artists	
*	*	*	*	*	*	*	*	*	45	artists	
*	*	*	*	*	*	*	*	*	26	artists	
*	*	*	*	*	*	*	*	*	66	artists	
*	*	*	*	*	*	*	*	*	81	artists	
*	*	*	*	*	*	*	*	*	88	artists	
*	*	*	*	*	*	*	*	*	70	artists	
*	*	*	*	*	*	*	*	*	43	artists	
*	*	*	*	*	*	*	*	*	86	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	72	artists	
*	*	*	*	*	*	*	*	*	68	artists	
*	*	*	*	*	*	*	*	*	75	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	80	artists	
*	*	*	*	*	*	*	*	*	70	artists	
*	*	*	*	*	*	*	*	*	66	artists	
*	*	*	*	*	*	*	*	*	66	artists	
*	*	*	*	*	*	*	*	*	81	artists	
*	*	*	*	*	*	*	*	*	81	artists	
*	*	*	*	*	*	*	*	*	34	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	65	artists	
*	*	*	*	*	*	*	*	*	78	artists	
*	*	*	*	*	*	*	*	*	37	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	85	artists	
*	*	*	*	*	*	*	*	*	81	artists	
*	*	*	*	*	*	*	*	*	76	artists	
*	*	*	*	*	*	*	*	*	71	artists	
*	*	*	*	*	*	*	*	*	67	artists	
*	*	*	*	*	*	*	*	*	98	artists	
*	*	*	*	*	*	*	*	*	80	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	62	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	47	artists	
*	*	*	*	*	*	*	*	*	61	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	67	artists	
*	*	*	*	*	*	*	*	*	79	artists	
*	*	*	*	*	*	*	*	*	40	artists	
*	*	*	*	*	*	*	*	*	58	artists	
*	*	*	*	*	*	*	*	*	81	artists	
*	*	*	*	*	*	*	*	*	75	artists	
*	*	*	*	*	*	*	*	*	71	artists	
*	*	*	*	*	*	*	*	*	49	artists	
*	*	*	*	*	*	*	*	*	85	artists	
*	*	*	*	*	*	*	*	*	71	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	66	artists	
*	*	*	*	*	*	*	*	*	83	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	59	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	80	artists	
*	*	*	*	*	*	*	*	*	83	artists	
*	*	*	*	*	*	*	*	*	81	artists	
*	*	*	*	*	*	*	*	*	76	artists	
*	*	*	*	*	*	*	*	*	90	artists	
*	*	*	*	*	*	*	*	*	57	artists	
*	*	*	*	*	*	*	*	*	42	artists	
*	*	*	*	*	*	*	*	*	72	artists	
*	*	*	*	*	*	*	*	*	79	artists	
*	*	*	*	*	*	*	*	*	61	artists	
*	*	*	*	*	*	*	*	*	51	artists	
*	*	*	*	*	*	*	*	*	47	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	81	artists	
*	*	*	*	*	*	*	*	*	66	artists	
*	*	*	*	*	*	*	*	*	61	artists	
*	*	*	*	*	*	*	*	*	55	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	65	artists	
*	*	*	*	*	*	*	*	*	33	artists	
*	*	*	*	*	*	*	*	*	70	artists	
*	*	*	*	*	*	*	*	*	87	artists	
*	*	*	*	*	*	*	*	*	37	artists	
*	*	*	*	*	*	*	*	*	43	artists	
*	*	*	*	*	*	*	*	*	80	artists	
*	*	*	*	*	*	*	*	*	73	artists	
*	*	*	*	*	*	*	*	*	47	artists	
*	*	*	*	*	*	*	*	*	48	artists	
*	*	*	*	*	*	*	*	*	86	artists	
*	*	*	*	*	*	*	*	*	76	artists	
*	*	*	*	*	*	*	*	*	69	artists	
*	*	*	*	*	*	*	*	*	86	artists	
*	*	*	*	*	*	*	*	*	67	artists	
*	*	*	*	*	*	*	*	*	89	artists	
*	*	*	*	*	*	*	*	*	64	artists	
*	*	*	*	*	*	*	*	*	46	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	85	artists	
*	*	*	*	*	*	*	*	*	87	artists	
*	*	*	*	*	*	*	*	*	69	artists	
*	*	*	*	*	*	*	*	*	78	artists	
*	*	*	*	*	*	*	*	*	61	artists	
*	*	*	*	*	*	*	*	*	94	artists	
*	*	*	*	*	*	*	*	*	78	artists	
*	*	*	*	*	*	*	*	*	53	artists	
*	*	*	*	*	*	*	*	*	75	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	67	artists	
*	*	*	*	*	*	*	*	*	52	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	47	artists	
*	*	*	*	*	*	*	*	*	63	artists	
*	*	*	*	*	*	*	*	*	50	artists	
*	*	*	*	*	*	*	*	*	83	artists	
*	*	*	*	*	*	*	*	*	61	artists	
*	*	*	*	*	*	*	*	*	75	artists	
*	*	*	*	*	*	*	*	*	36	artists	
*	*	*	*	*	*	*	*	*	83	artists	
*	*	*	*	*	*	*	*	*	56	artists	
*	*	*	*	*	*	*	*	*	27	artists	
*	*	*	*	*	*	*	*	*	85	artists	
*	*	*	*	*	*	*	*	*	89	artists	
*	*	*	*	*	*	*	*	*	61	artists	
*	*	*	*	*	*	*	*	*	90	artists	
*	*	*	*	*	*	*	*	*	36	artists	
*	*	*	*	*	*	*	*	*	72	artists	
*	*	*	*	*	*	*	*	*	86	artists	
*	*	*	*	*	*	*	*	*	88	artists	
*	*	*	*	*	*	*	*	*	72	artists	
*	*	*	*	*	*	*	*	*	59	artists	
*	*	*	*	*	*	*	*	*	101	artists	
*	*	*	*	*	*	*	*	*	81	artists	
*	*	*	*	*	*	*	*	*	64	artists	
*	*	*	*	*	*	*	*	*	65	artists	
*	*	*	*	*	*	*	*	*	84	artists	
*	*	*	*	*	*	*	*	*	99	artists	
*	*	*	*	*	*	*	*	*	66	artists	
*	*	*	*	*	*	*	*	*	86	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	92	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	73	artists	
*	*	*	*	*	*	*	*	*	44	artists	
*	*	*	*	*	*	*	*	*	71	artists	
*	*	*	*	*	*	*	*	*	64	artists	
*	*	*	*	*	*	*	*	*	65	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	33	artists	
*	*	*	*	*	*	*	*	*	86	artists	
*	*	*	*	*	*	*	*	*	56	artists	
*	*	*	*	*	*	*	*	*	63	artists	
*	*	*	*	*	*	*	*	*	48	artists	
*	*	*	*	*	*	*	*	*	78	artists	
*	*	*	*	*	*	*	*	*	69	artists	
*	*	*	*	*	*	*	*	*	71	artists	
*	*	*	*	*	*	*	*	*	84	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	67	artists	
*	*	*	*	*	*	*	*	*	87	artists	
*	*	*	*	*	*	*	*	*	66	artists	
*	*	*	*	*	*	*	*	*	55	artists	
*	*	*	*	*	*	*	*	*	63	artists	
*	*	*	*	*	*	*	*	*	54	artists	
*	*	*	*	*	*	*	*	*	70	artists	
*	*	*	*	*	*	*	*	*	70	artists	
*	*	*	*	*	*	*	*	*	59	artists	
*	*	*	*	*	*	*	*	*	89	artists	
*	*	*	*	*	*	*	*	*	84	artists	
*	*	*	*	*	*	*	*	*	69	artists	
*	*	*	*	*	*	*	*	*	32	artists	
*	*	*	*	*	*	*	*	*	83	artists	
*	*	*	*	*	*	*	*	*	71	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	78	artists	
*	*	*	*	*	*	*	*	*	80	artists	
*	*	*	*	*	*	*	*	*	59	artists	
*	*	*	*	*	*	*	*	*	73	artists	
*	*	*	*	*	*	*	*	*	89	artists	
*	*	*	*	*	*	*	*	*	55	artists	
*	*	*	*	*	*	*	*	*	74	artists	
*	*	*	*	*	*	*	*	*	76	artists	
*	*	*	*	*	*	*	*	*	91	artists	
*	*	*	*	*	*	*	*	*	37	artists	
*	*	*	*	*	*	*	*	*	87	artists	
*	*	*	*	*	*	*	*	*	76	artists	
*	*	*	*	*	*	*	*	*	78	artists	
*	*	*	*	*	*	*	*	*	72	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	61	artists	
*	*	*	*	*	*	*	*	*	43	artists	
*	*	*	*	*	*	*	*	*	60	artists	
*	*	*	*	*	*	*	*	*	53	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	59	artists	
*	*	*	*	*	*	*	*	*	37	artists	
*	*	*	*	*	*	*	*	*	87	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	69	artists	
*	*	*	*	*	*	*	*	*	82	artists	
*	*	*	*	*	*	*	*	*	51	artists	
*	*	*	*	*	*	*	*	*	77	artists	
*	*	*	*	*	*	*	*	*	87	philosophers	
*	*	*	*	*	*	*	*	*	63	philosophers	
*	*	*	*	*	*	*	*	*	82	philosophers	
*	*	*	*	*	*	*	*	*	76	philosophers	
*	*	*	*	*	*	*	*	*	72	philosophers	
*	*	*	*	*	*	*	*	*	70	philosophers	
*	*	*	*	*	*	*	*	*	82	philosophers	
*	*	*	*	*	*	*	*	*	67	philosophers	
*	*	*	*	*	*	*	*	*	84	philosophers	
*	*	*	*	*	*	*	*	*	82	philosophers	
*	*	*	*	*	*	*	*	*	68	philosophers	
*	*	*	*	*	*	*	*	*	47	philosophers	
*	*	*	*	*	*	*	*	*	49	philosophers	
*	*	*	*	*	*	*	*	*	77	philosophers	
*	*	*	*	*	*	*	*	*	77	philosophers	
*	*	*	*	*	*	*	*	*	52	philosophers	
*	*	*	*	*	*	*	*	*	87	philosophers	
*	*	*	*	*	*	*	*	*	80	philosophers	
*	*	*	*	*	*	*	*	*	55	philosophers	
*	*	*	*	*	*	*	*	*	79	philosophers	
*	*	*	*	*	*	*	*	*	62	philosophers	
*	*	*	*	*	*	*	*	*	57	philosophers	
*	*	*	*	*	*	*	*	*	72	philosophers	
*	*	*	*	*	*	*	*	*	66	philosophers	
*	*	*	*	*	*	*	*	*	79	philosophers	
*	*	*	*	*	*	*	*	*	54	philosophers	
*	*	*	*	*	*	*	*	*	93	philosophers	
*	*	*	*	*	*	*	*	*	71	philosophers	
*	*	*	*	*	*	*	*	*	89	philosophers	
*	*	*	*	*	*	*	*	*	55	philosophers	
*	*	*	*	*	*	*	*	*	70	philosophers	
*	*	*	*	*	*	*	*	*	52	philosophers	
*	*	*	*	*	*	*	*	*	67	philosophers	
*	*	*	*	*	*	*	*	*	42	philosophers	
*	*	*	*	*	*	*	*	*	53	philosophers	
*	*	*	*	*	*	*	*	*	61	philosophers	
*	*	*	*	*	*	*	*	*	87	philosophers	
*	*	*	*	*	*	*	*	*	59	philosophers	
*	*	*	*	*	*	*	*	*	65	philosophers	
*	*	*	*	*	*	*	*	*	46	philosophers	
*	*	*	*	*	*	*	*	*	79	philosophers	
*	*	*	*	*	*	*	*	*	70	philosophers	
*	*	*	*	*	*	*	*	*	65	philosophers	
*	*	*	*	*	*	*	*	*	94	philosophers	
*	*	*	*	*	*	*	*	*	68	philosophers	
*	*	*	*	*	*	*	*	*	86	philosophers	
*	*	*	*	*	*	*	*	*	80	philosophers	
*	*	*	*	*	*	*	*	*	42	philosophers	
*	*	*	*	*	*	*	*	*	67	philosophers	
*	*	*	*	*	*	*	*	*	73	philosophers	
*	*	*	*	*	*	*	*	*	70	philosophers	
*	*	*	*	*	*	*	*	*	63	philosophers	
*	*	*	*	*	*	*	*	*	69	philosophers	
*	*	*	*	*	*	*	*	*	91	philosophers	
*	*	*	*	*	*	*	*	*	65	philosophers	
*	*	*	*	*	*	*	*	*	63	philosophers	
*	*	*	*	*	*	*	*	*	53	philosophers	
*	*	*	*	*	*	*	*	*	62	philosophers	
*	*	*	*	*	*	*	*	*	62	philosophers	
*	*	*	*	*	*	*	*	*	85	philosophers	
*	*	*	*	*	*	*	*	*	78	philosophers	
*	*	*	*	*	*	*	*	*	86	philosophers	
*	*	*	*	*	*	*	*	*	89	philosophers	
*	*	*	*	*	*	*	*	*	79	philosophers	
*	*	*	*	*	*	*	*	*	56	philosophers	
*	*	*	*	*	*	*	*	*	39	philosophers	
*	*	*	*	*	*	*	*	*	72	philosophers	
*	*	*	*	*	*	*	*	*	75	philosophers	
*	*	*	*	*	*	*	*	*	61	philosophers	
*	*	*	*	*	*	*	*	*	64	philosophers	
*	*	*	*	*	*	*	*	*	79	philosophers	
*	*	*	*	*	*	*	*	*	66	philosophers	
*	*	*	*	*	*	*	*	*	72	philosophers	
*	*	*	*	*	*	*	*	*	59	philosophers	
*	*	*	*	*	*	*	*	*	83	philosophers	
*	*	*	*	*	*	*	*	*	45	philosophers	
*	*	*	*	*	*	*	*	*	73	philosophers	
*	*	*	*	*	*	*	*	*	96	philosophers	
*	*	*	*	*	*	*	*	*	34	philosophers	
*	*	*	*	*	*	*	*	*	52	philosophers	
*	*	*	*	*	*	*	*	*	91	philosophers	
*	*	*	*	*	*	*	*	*	49	philosophers	
*	*	*	*	*	*	*	*	*	79	philosophers	
*	*	*	*	*	*	*	*	*	88	philosophers	
*	*	*	*	*	*	*	*	*	86	philosophers	
*	*	*	*	*	*	*	*	*	64	philosophers	
*	*	*	*	*	*	*	*	*	80	philosophers	
*	*	*	*	*	*	*	*	*	72	philosophers	
*	*	*	*	*	*	*	*	*	64	philosophers	
*	*	*	*	*	*	*	*	*	76	philosophers	
*	*	*	*	*	*	*	*	*	47	philosophers	
*	*	*	*	*	*	*	*	*	75	social	reformers
*	*	*	*	*	*	*	*	*	86	social	reformers
*	*	*	*	*	*	*	*	*	89	social	reformers
*	*	*	*	*	*	*	*	*	60	social	reformers
*	*	*	*	*	*	*	*	*	91	social	reformers
*	*	*	*	*	*	*	*	*	74	social	reformers
*	*	*	*	*	*	*	*	*	86	social	reformers
*	*	*	*	*	*	*	*	*	76	social	reformers
*	*	*	*	*	*	*	*	*	83	social	reformers
*	*	*	*	*	*	*	*	*	85	social	reformers
*	*	*	*	*	*	*	*	*	67	social	reformers
*	*	*	*	*	*	*	*	*	88	social	reformers
*	*	*	*	*	*	*	*	*	83	social	reformers
*	*	*	*	*	*	*	*	*	71	social	reformers
*	*	*	*	*	*	*	*	*	80	social	reformers
*	*	*	*	*	*	*	*	*	85	social	reformers
*	*	*	*	*	*	*	*	*	78	social	reformers
*	*	*	*	*	*	*	*	*	95	social	reformers
*	*	*	*	*	*	*	*	*	74	social	reformers
*	*	*	*	*	*	*	*	*	69	social	reformers
*	*	*	*	*	*	*	*	*	74	social	reformers
*	*	*	*	*	*	*	*	*	79	social	reformers
*	*	*	*	*	*	*	*	*	61	social	reformers
*	*	*	*	*	*	*	*	*	59	social	reformers
*	*	*	*	*	*	*	*	*	61	social	reformers
*	*	*	*	*	*	*	*	*	75	social	reformers
*	*	*	*	*	*	*	*	*	88	social	reformers
*	*	*	*	*	*	*	*	*	39	social	reformers
*	*	*	*	*	*	*	*	*	89	social	reformers
*	*	*	*	*	*	*	*	*	63	social	reformers
*	*	*	*	*	*	*	*	*	73	social	reformers
*	*	*	*	*	*	*	*	*	82	social	reformers
*	*	*	*	*	*	*	*	*	87	social	reformers
*	*	*	*	*	*	*	*	*	66	social	reformers
*	*	*	*	*	*	*	*	*	90	social	reformers
*	*	*	*	*	*	*	*	*	70	social	reformers
*	*	*	*	*	*	*	*	*	90	social	reformers
*	*	*	*	*	*	*	*	*	63	social	reformers
*	*	*	*	*	*	*	*	*	65	social	reformers
*	*	*	*	*	*	*	*	*	83	social	reformers
*	*	*	*	*	*	*	*	*	47	social	reformers
*	*	*	*	*	*	*	*	*	84	social	reformers
*	*	*	*	*	*	*	*	*	87	social	reformers
*	*	*	*	*	*	*	*	*	75	social	reformers
*	*	*	*	*	*	*	*	*	93	social	reformers
*	*	*	*	*	*	*	*	*	59	social	reformers
*	*	*	*	*	*	*	*	*	62	social	reformers
*	*	*	*	*	*	*	*	*	74	social	reformers
*	*	*	*	*	*	*	*	*	83	social	reformers
*	*	*	*	*	*	*	*	*	59	social	reformers
*	*	*	*	*	*	*	*	*	70	social	reformers
*	*	*	*	*	*	*	*	*	79	historians	
*	*	*	*	*	*	*	*	*	65	historians	
*	*	*	*	*	*	*	*	*	91	historians	
*	*	*	*	*	*	*	*	*	74	historians	
*	*	*	*	*	*	*	*	*	62	historians	
*	*	*	*	*	*	*	*	*	61	historians	
*	*	*	*	*	*	*	*	*	87	historians	
*	*	*	*	*	*	*	*	*	71	historians	
*	*	*	*	*	*	*	*	*	62	historians	
